Plant,Parent_Endo,Endo,status,Transmission,Bud_Number,Buds_per_inflorescence,Seed_Number,Seeds_per_bud,PollenCount,Pollen_per_bud,Tiller_Number,Inflorescence_Number,Inflorescences_per_Tiller,Shoot_Mass(g),Root_Mass(g),Total_Mass(g),LloydG,,
164,1,1,2,++,2,2,0,,5892,2946,11,1,0.090909091,1.1,0.089,1.189,0,,
203,1,1,2,++,3,3,0,,7686,2562,10,1,0.1,1.344,0.103,1.447,0,,
145,0,0,0,--,3,3,0,,12924,4308,7,1,0.142857143,0.319,0.1,0.419,0,,
21,1,0,1,+-,11,11,6,0.545454545,14718,1338,10,1,0.1,1.675,0.099,1.774,0.758796514,,
146,0,0,0,--,7,7,5,0.714285714,16842,2406,4,1,0.25,4.333,0.136,4.469,0.696136386,,
138,0,0,0,--,7,7,1,0.142857143,20391,2913,10,1,0.1,1.799,0.146,1.945,0.27454395,,
155,0,0,0,--,6,6,0,,23436,3906,6,1,0.166666667,1.699,0.12,1.819,0,,
103,1,1,2,++,6,6,5,0.833333333,24498,4083,8,1,0.125,1.14,0.105,1.245,0.611649452,,
159,1,1,2,++,6,6,3,0.5,27036,4506,6,1,0.166666667,1.961,0.15,2.111,0.46128949,,
40,0,0,0,--,7,7,1,0.142857143,27972,3996,11,1,0.090909091,2.51,0.351,2.861,0.216225498,,
172,1,1,2,++,10,5,6,0.6,28260,2826,8,2,0.25,2.009,0.189,2.198,0.620981573,,
176,1,1,2,++,13,13,10,0.769230769,31278,2406,6,1,0.166666667,1.328,0.25,1.578,0.711580926,,
194,1,1,2,++,16,16,13,0.8125,34800,2175,15,1,0.066666667,1.661,0.259,1.92,0.742449008,,
183,1,1,2,++,11,11,7,0.636363636,36366,3306,9,1,0.111111111,1.67,0.277,1.947,0.597649381,,
9,1,1,2,++,12,12,12,1,38124,3177,6,1,0.166666667,1.211,0.18,1.391,0.708367202,,
179,1,1,2,++,14,14,8,0.571428571,39270,2805,12,1,0.083333333,1.583,0.13,1.713,0.611206178,,
46,0,0,0,--,11,11,7,0.636363636,40425,3675,5,1,0.2,1.031,0.122,1.153,0.571963385,,
7,0,0,0,--,11,11,5,0.454545455,43593,3963,7,1,0.142857143,2.168,0.227,2.395,0.469524279,,
134,1,1,2,++,16,8,11,0.6875,44448,2778,11,2,0.181818182,1.514,0.318,1.832,0.656329545,,
88,1,1,2,++,16,8,9,0.5625,47856,2991,10,2,0.2,1.743,0.306,2.049,0.592046641,,
174,0,1,1,+-,20,6.666666667,12,0.6,49500,2475,14,3,0.214285714,1.747,0.336,2.083,0.651658759,,
