Sample,firmness,size,scar_diameter,weight,yield,flower_buds,ph,soluble_solids
UFF_192502_P01_WA01,231.953258,15.54372769,1.89177676,1.972,4,5,3.52,12.2
UFF_192502_P01_WA02,213.2558253,21.59225749,2.5350978,3.656,4,7,3.29,13.6
UFF_192502_P01_WA03,203.2501291,19.80559906,2.73567144,3.05,3,0,3.66,13.5
UFF_192502_P01_WA04,225.1066124,15.65205561,2.10791552,1.756,4,1,3.21,13.6
UFF_192502_P01_WA05,304.7860012,20.08659744,1.64281612,2.88,3,10,3.838,8.7
UFF_192502_P01_WA07,271.284706,21.20560119,1.6872712,3.522,3,4,3.031,9.8
UFF_192502_P01_WA09,258.2108943,19.57723814,2.04295248,2.424,3,8,3.021,9.3
UFF_192502_P01_WA10,189.8575334,20.5007763,1.52573228,3.496,4,11,3.371,9.8
UFF_192502_P01_WB01,253.6175596,16.33071428,1.76019968,2.268,3,6,3.685,11.6
UFF_192502_P01_WB02,240.7063477,18.30112282,1.68349168,2.664,3,3,3.374,11.5
UFF_192502_P01_WB03,256.8948007,18.67653291,1.7298416,2.714,3,16,3.413,12.8
UFF_192502_P01_WB04,169.5674807,20.89785542,2.24859596,3.356,3,5,3.271,10.1
UFF_192502_P01_WB05,196.5194984,19.12327798,1.47469352,2.89,3,3,3.885,9
UFF_192502_P01_WB06,187.7243582,16.72320308,1.69599356,2,2,12,3.351,10.4
UFF_192502_P01_WB07,282.9218144,18.90064867,1.72760132,2.492,3,3,3.73,9.9
UFF_192502_P01_WB08,274.2190076,17.93654679,2.66712192,2.11,3,6,3.09,10.2
UFF_192502_P01_WB09,285.0457842,17.24470972,1.4978888,2.198,3,3,4.03,10.8
UFF_192502_P01_WB10,307.6432672,15.03802866,1.8186654,1.62,3,2,3.9,11.4
UFF_192502_P01_WB11,268.8280704,16.89792562,1.78327304,2.182,3,0,3.84,13.6
UFF_192502_P01_WB12,231.1359154,17.44683974,2.46122444,2.2,2,5,3.35,11.5
UFF_192502_P01_WC01,248.1539837,18.94659265,2.5135078,2.804,3,1,NA,NA
UFF_192502_P01_WC02,201.4551124,18.9436208,2.5780238,2.538,3,1,2.88,12
